# Two Dipoles. Viscous opposite moments. $\\Reyn=0.5$, $x(0)=3$
# Commit: 2026-08-08-4-g5e9f416
# KinematicViscosity: 2
# TauMode: ConstPi32 τ = 1/π^(3/2)
# Date: 2026-08-14 01:33:44
time,d1_rx,d1_mx,d2_rx,d2_mx,sum_zeta_square,linear_impulse_x,linear_impulse_y,linear_impulse_z,angular_impulse_x,angular_impulse_y,angular_impulse_z
17.300000,0.561267,0.303779,2.438733,-0.303779,0.184563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.400000,0.560255,0.301501,2.439745,-0.301501,0.181806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.500000,0.559248,0.299257,2.440752,-0.299257,0.179110,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.600000,0.558247,0.297046,2.441753,-0.297046,0.176473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.700000,0.557251,0.294867,2.442749,-0.294867,0.173893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.800000,0.556261,0.292719,2.443739,-0.292719,0.171368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.900000,0.555277,0.290602,2.444723,-0.290602,0.168898,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.000000,0.554298,0.288515,2.445702,-0.288515,0.166481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.100000,0.553324,0.286457,2.446676,-0.286457,0.164115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.200000,0.552356,0.284429,2.447644,-0.284429,0.161799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.300000,0.551394,0.282428,2.448606,-0.282428,0.159532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.400000,0.550437,0.280456,2.449563,-0.280456,0.157311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.500000,0.549485,0.278511,2.450515,-0.278511,0.155137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.600000,0.548539,0.276593,2.451461,-0.276593,0.153008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.700000,0.547599,0.274701,2.452401,-0.274701,0.150922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.800000,0.546664,0.272835,2.453336,-0.272835,0.148878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.900000,0.545734,0.270994,2.454266,-0.270994,0.146876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.000000,0.544810,0.269178,2.455190,-0.269178,0.144914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.100000,0.543891,0.267387,2.456109,-0.267387,0.142991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.200000,0.542977,0.265619,2.457023,-0.265619,0.141106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.300000,0.542069,0.263874,2.457931,-0.263874,0.139259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.400000,0.541166,0.262153,2.458834,-0.262153,0.137448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.500000,0.540268,0.260454,2.459732,-0.260454,0.135672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.600000,0.539376,0.258777,2.460624,-0.258777,0.133931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.700000,0.538489,0.257122,2.461511,-0.257122,0.132223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.800000,0.537607,0.255488,2.462393,-0.255488,0.130548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.900000,0.536730,0.253875,2.463270,-0.253875,0.128905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.000000,0.535858,0.252282,2.464142,-0.252282,0.127293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.100000,0.534991,0.250710,2.465009,-0.250710,0.125711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.200000,0.534130,0.249158,2.465870,-0.249158,0.124159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.300000,0.533273,0.247625,2.466727,-0.247625,0.122636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.400000,0.532422,0.246111,2.467578,-0.246111,0.121141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.500000,0.531575,0.244616,2.468425,-0.244616,0.119674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.600000,0.530734,0.243139,2.469266,-0.243139,0.118233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.700000,0.529897,0.241680,2.470103,-0.241680,0.116819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.800000,0.529065,0.240239,2.470935,-0.240239,0.115430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.900000,0.528238,0.238816,2.471762,-0.238816,0.114066,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.000000,0.527416,0.237410,2.472584,-0.237410,0.112727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
21.100000,0.526598,0.236020,2.473402,-0.236020,0.111411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
