# Two Dipoles from onedisk
# Commit: 2026-06-04-2-g5a5da60-dirty
# KinematicViscosity: 0
# TauMode: Dynamic τ_i = 1/Σ_n exp(-ξ²)
# Date: 2026-06-10 04:21:57
time,d1_rx,d1_ry,d1_rz,d1_mx,d1_my,d1_mz,d2_rx,d2_ry,d2_rz,d2_mx,d2_my,d2_mz,sum_zeta_square
67.499998,-0.296546,0.800927,0.518191,-0.896100,0.488737,0.060331,-0.356502,0.668058,0.519848,0.855100,-0.405737,0.004669,1.941340
67.999998,-0.300304,0.806483,0.522075,-0.904459,0.470870,0.060553,-0.357573,0.672354,0.523647,0.863459,-0.387870,0.004447,1.939455
68.499998,-0.304074,0.812012,0.525960,-0.912451,0.452846,0.060764,-0.358632,0.676678,0.527446,0.871451,-0.369846,0.004236,1.937560
68.999998,-0.307858,0.817515,0.529845,-0.920074,0.434674,0.060962,-0.359678,0.681031,0.531245,0.879074,-0.351674,0.004038,1.935656
69.499998,-0.311654,0.822991,0.533730,-0.927325,0.416360,0.061149,-0.360712,0.685411,0.535043,0.886325,-0.333360,0.003851,1.933742
69.999998,-0.315461,0.828439,0.537615,-0.934201,0.397913,0.061324,-0.361736,0.689820,0.538840,0.893201,-0.314913,0.003676,1.931819
70.499998,-0.319280,0.833861,0.541501,-0.940700,0.379340,0.061486,-0.362748,0.694257,0.542638,0.899700,-0.296340,0.003514,1.929886
70.999998,-0.323109,0.839254,0.545387,-0.946820,0.360649,0.061637,-0.363751,0.698723,0.546435,0.905820,-0.277649,0.003363,1.927944
71.499998,-0.326948,0.844620,0.549273,-0.952558,0.341848,0.061775,-0.364744,0.703218,0.550232,0.911558,-0.258848,0.003225,1.925994
71.999998,-0.330797,0.849958,0.553160,-0.957913,0.322944,0.061901,-0.365728,0.707743,0.554028,0.916913,-0.239944,0.003099,1.924034
72.499998,-0.334655,0.855267,0.557046,-0.962883,0.303947,0.062014,-0.366705,0.712296,0.557824,0.921883,-0.220947,0.002986,1.922066
72.999998,-0.338521,0.860548,0.560933,-0.967465,0.284862,0.062116,-0.367673,0.716880,0.561620,0.926465,-0.201862,0.002884,1.920089
73.499998,-0.342395,0.865801,0.564819,-0.971660,0.265699,0.062205,-0.368634,0.721493,0.565416,0.930660,-0.182699,0.002795,1.918103
73.999998,-0.346277,0.871024,0.568706,-0.975465,0.246466,0.062282,-0.369589,0.726135,0.569212,0.934465,-0.163466,0.002718,1.916109
74.499998,-0.350165,0.876218,0.572593,-0.978879,0.227170,0.062346,-0.370538,0.730808,0.573007,0.937879,-0.144170,0.002654,1.914107
74.999998,-0.354060,0.881384,0.576480,-0.981902,0.207819,0.062398,-0.371482,0.735511,0.576803,0.940902,-0.124819,0.002602,1.912096
75.499998,-0.357960,0.886520,0.580367,-0.984532,0.188421,0.062438,-0.372421,0.740244,0.580598,0.943532,-0.105421,0.002562,1.910078
75.999998,-0.361865,0.891626,0.584255,-0.986769,0.168985,0.062465,-0.373356,0.745007,0.584393,0.945769,-0.085985,0.002535,1.908051
76.499998,-0.365775,0.896703,0.588142,-0.988613,0.149519,0.062480,-0.374288,0.749801,0.588188,0.947613,-0.066519,0.002520,1.906016
76.999998,-0.369689,0.901751,0.592029,-0.990063,0.130030,0.062482,-0.375216,0.754625,0.591983,0.949063,-0.047030,0.002518,1.903973
77.499998,-0.373606,0.906768,0.595916,-0.991118,0.110526,0.062473,-0.376143,0.759480,0.595778,0.950118,-0.027526,0.002527,1.901923
77.999998,-0.377526,0.911756,0.599803,-0.991780,0.091015,0.062451,-0.377068,0.764365,0.599573,0.950780,-0.008015,0.002549,1.899865
78.499998,-0.381449,0.916713,0.603690,-0.992048,0.071507,0.062416,-0.377992,0.769280,0.603367,0.951048,0.011493,0.002584,1.897799
78.999998,-0.385372,0.921641,0.607577,-0.991922,0.052007,0.062370,-0.378916,0.774227,0.607162,0.950922,0.030993,0.002630,1.895726
79.499998,-0.389297,0.926539,0.611464,-0.991404,0.032526,0.062311,-0.379840,0.779203,0.610957,0.950404,0.050474,0.002689,1.893645
